name.length,age
30,28.52566735
15,25.70568104
29,25.98494182
27,25.14715948
28,28.3559206
29,28.49828884
29,28.6899384
28,26.81451061
19,25.5742642
28,25.58795346
28,26.00958248
18,24.44353183
31,24.92813142
23,24.22176591
27,23.18959617
31,23.44695414
13,23.92060233
32,23.08829569
19,23.34017796
29,23.9945243
26,23.84120465
24,23.321013
25,23.16221766
27,24.33127995
23,23.73169062
21,23.3045859
23,22.36550308
19,22.65297741
24,22.17385352
29,22.81451061
29,22.14921287
23,22.55989049
30,22.26694045
30,22.48323066
19,22.00958248
22,22.20123203
26,22.32717317
30,22.60643395
27,22.73237509
25,22.37371663
27,22.66392882
24,22.32991102
26,22.48323066
15,22.53524983
22,22.04243669
22,22.19575633
29,22.57631759
25,22.14373717
26,21.88637919
32,22.98973306
27,22.35728953
26,22.85557837
28,22.49418207
30,22.66392882
26,20.99657769
19,21.24298426
27,21.67830253
18,21.41820671
19,22.34086242
23,21.13620808
23,21.26214921
25,21.12799452
26,21.68377823
19,21.31416838
28,23.09924709
32,22.2587269
21,21.7412731
31,22.02874743
28,21.67556468
20,21.7412731
25,21.81793292
34,20.88980151
22,21.24298426
20,21.32511978
25,21.94387406
18,21.9137577
27,21.2238193
20,21.38809035
22,21.61533196
19,21.48665298
20,21.08145106
24,21.51403149
28,21.50308008
27,21.47570157
13,21.09240246
30,21.71389459
22,21.88911704
25,22.68309377
24,22.71047228
24,19.99726215
23,20.3449692
19,20.49555099
19,20.26557153
25,20.06023272
19,20.37234771
19,20.12867899
20,20.38329911
25,21.68377823
26,20.83778234
26,20.83778234
28,20.76933607
23,20.23819302
17,28.5119781
20,26.49965777
23,26.05338809
28,25.14442163
23,25.3963039
23,24.15879535
18,25.0568104
24,24.33127995
24,25.11704312
19,25.02121834
18,26.06433949
26,24.76933607
21,24.93634497
24,24.56125941
23,25.05954825
27,24.06570842
22,24.96646133
26,25.37713895
20,24.81587953
19,25.62354552
21,26.82272416
21,23.61943874
18,23.36481862
30,24.24366872
23,23.41683778
22,23.8384668
21,23.75633128
24,23.69883641
25,24.27378508
25,24.08213552
25,23.22245038
22,24.04928131
22,23.26899384
24,24.91444216
16,23.54825462
16,23.67693361
24,24.38329911
21,24.3504449
19,23.72895277
28,24.49007529
26,23.45790554
20,23.70704997
22,23.8110883
18,24.13963039
19,27.21971253
35,27.11019849
21,23.21697467
14,23.816564
24,22.99794661
20,24.64887064
27,24.21902806
22,24.22450376
27,24.42984257
25,23.52361396
22,23.94798084
28,24.78302533
16,24.01368925
24,23.3045859
17,23.33470226
17,23.9835729
26,24.38877481
25,24.11772758
17,23.88227242
19,24.03285421
18,23.80835044
13,23.65776865
17,24.10951403
22,22.91581109
21,22.81451061
31,23.03901437
24,22.71321013
27,22.7980835
23,23.31279945
25,23.816564
19,22.9486653
25,23.86036961
28,22.45585216
27,22.62833676
24,22.72416153
19,22.88295688
16,23.1430527
20,23.31827515
23,22.17111567
26,23.16495551
28,23.11841205
25,22.19301848
26,23.05544148
22,23.93429158
23,22.31074606
18,23.90965092
18,23.90965092
26,22.97330595
16,23.38124572
26,22.7816564
21,23.29089665
20,22.21218344
19,23.77275838
20,23.8275154
21,23.22518823
23,22.79534565
32,22.37371663
29,22.49144422
23,23.02806297
24,22.56810404
28,22.99794661
24,22.99794661
22,23.25804244
22,23.01163587
