age,name_length,sex,nationality,major
21.20192,29,Female,Mexico,IAL
21.74949,18,Male,Mexico,MC
22.02601,19,Male,Mexico,MC
22.03696,25,Female,Mexico,LDI
22.3655,23,Male,Mexico,LAF
21.98768,24,Male,South America,LIN
21.89185,27,Male,Mexico,IDM
22.41478,26,Male,Mexico,IFI
22.12731,26,Male,Mexico,IC
21.7577,16,Female,Mexico,LC
21.79603,32,Male,Mexico,LAF
22.18754,23,Male,Mexico,LC
21.91923,20,Female,Mexico,IFI
21.14716,21,Male,Mexico,LAE
21.82341,28,Male,Mexico,IDM
22.25599,24,Female,Mexico,LAF
22.2423,24,Male,Mexico,IDM
22.3655,21,Female,Mexico,LDI
21.78234,23,Male,Mexico,LDE
21.94387,23,Male,Mexico,LAF
22.11362,23,Male,Mexico,IIS
21.38809,19,Female,Mexico,IBT
22.39562,25,Female,Mexico,LAF
23.08282,28,Female,Mexico,ARQ
22.01232,24,Female,Mexico,ARQ
22.47502,26,Male,Mexico,LIN
22.7488,31,Female,Mexico,ARQ
21.93292,37,Female,Mexico,IBT
21.64271,32,Male,Mexico,LDI
22.62286,27,Male,Mexico,LAF
22.16838,21,Male,Mexico,IIS
21.39904,30,Male,Mexico,LAE
21.8809,25,Female,Mexico,ARQ
22.54894,25,Male,Mexico,LAF
21.62081,21,Female,Mexico,ARQ
21.63997,19,Female,Mexico,IIS
22.46954,23,Female,Mexico,IIS
21.56879,17,Male,Mexico,LEM
21.68652,21,Male,Mexico,IC
22.47502,25,Female,Mexico,LAD
22.75975,22,Female,Mexico,LEM
22.07803,20,Male,Mexico,LAF
22.00684,32,Male,Mexico,LAF
21.38809,26,Male,Mexico,LAE
21.37714,24,Female,Mexico,LC
21.91376,34,Male,Mexico,ARQ
21.80151,26,Male,Mexico,IIS
23.11294,24,Female,Mexico,LDI
22.2204,31,Female,Mexico,LAF
21.99042,29,Male,Mexico,IFI
21.42368,28,Male,Mexico,LAF
21.76865,27,Male,Mexico,LIT
21.36071,23,Female,Mexico,IMD
22.32444,21,Female,Mexico,LDI
21.35524,32,Female,Mexico,INA
22.07255,25,Female,Mexico,LIN
23.16222,26,Male,Mexico,LAD
21.30322,18,Female,Mexico,LAF
21.27036,23,Female,Mexico,LEM
21.62081,19,Female,Mexico,ARQ
21.31417,21,Male,Mexico,IM
22.03696,29,Male,Mexico,IIS
21.28405,20,Female,Mexico,IQ
21.51951,22,Female,Mexico,LIN
22.52156,22,Female,Mexico,INA
21.96578,33,Female,Mexico,IM
22.89938,27,Male,Mexico,LIN
22.10815,31,Female,Mexico,LAF
25.14442,20,Male,Mexico,IMT
25.38535,23,Female,Mexico,LAE
24.6078,18,Female,Mexico,LDI
21.13347,27,Female,Mexico,BGB
23.03628,30,Female,Mexico,IFI
21.30869,25,Male,Mexico,LAF
21.70294,22,Male,Mexico,ARQ
21.27858,20,Male,Mexico,IMT
21.62902,30,Female,Mexico,IIS
22.38467,26,Female,Mexico,LAD
21.84531,26,Male,Mexico,IBT
21.92197,24,Male,Mexico,LAF
21.71937,25,Male,Mexico,LAE
22.96235,23,Male,Mexico,LED
22.28337,36,Male,Mexico,LAF
22.04791,23,Male,Mexico,LTM
21.89459,32,Male,Mexico,LIN
23.43874,28,Female,Mexico,ARQ
21.94387,27,Female,Mexico,BGB
22.58179,23,Male,Mexico,LAE
21.78508,30,Male,Mexico,IMD
21.88364,28,Male,Mexico,BGB
21.89185,21,Male,Mexico,LRI
22.28611,32,Male,Mexico,MC
21.68104,27,Male,Mexico,ITC
22.29432,19,Female,Mexico,IIS
22.96783,23,Female,Mexico,ARQ
25.43737,28,Female,Mexico,IMT
21.48939,30,Male,Mexico,LAF
21.45927,17,Male,Mexico,IMT
20.84052,24,Female,Mexico,LED
22.62834,27,Male,Mexico,IC
20.78029,18,Male,Mexico,LAF
20.65435,27,Male,Mexico,IMT
21.77139,20,Male,Mexico,IBT
21.10883,26,Male,Mexico,IQ
21.96578,29,Male,Mexico,LPS
20.83778,29,Male,Mexico,LAF
21.26762,25,Male,Mexico,IMT
20.88159,28,Female,Mexico,LDI
21.77687,20,Male,Mexico,IIS
20.42163,28,Male,Mexico,IDM
20.43806,31,Female,Mexico,BGB
21.61533,28,Female,Mexico,IMT
20.13963,30,Female,Mexico,IMT
20.75017,22,Male,Mexico,IDM
21.0705,27,Male,Mexico,IMT
21.71663,22,Male,Mexico,ARQ
21.78508,27,Female,Mexico,LAE
20.93087,20,Female,Mexico,LEM
21.12252,28,Male,Mexico,LED
20.82683,32,Female,Mexico,CPF
21.70842,28,Male,Mexico,NEG
21.48665,21,Male,Mexico,LIN
20.45722,28,Male,Mexico,ITC
20.4627,32,Male,Mexico,LTM
21.16632,33,Female,Mexico,IIS
21.24298,36,Male,Mexico,IBT
21.40178,26,Male,Mexico,LEM
21.56331,19,Male,Mexico,LAF
20.39973,24,Female,Mexico,LAF
21.47296,18,Female,Mexico,LAF
20.79398,35,Male,Mexico,LIN
20.88159,20,Male,Mexico,IIS
20.72827,20,Male,Mexico,IIS
21.16906,33,Male,Mexico,LAF
21.64545,28,Female,Mexico,LTM
20.87611,23,Male,Mexico,LAE
20.27105,26,Male,Mexico,IIS
20.27652,31,Female,Mexico,LAE
21.55236,17,Female,Mexico,LDI
25.45654,20,Male,Mexico,LIN
22.3217,32,Male,Mexico,BGB
20.2245,18,Male,Mexico,LAF
20.83231,30,Male,Mexico,IIS
20.39151,27,Female,Mexico,LDI
20.31211,31,Female,Mexico,MC
20.98289,18,Male,Mexico,LAD
21.80972,22,Male,Mexico,LIN
21.10062,29,Female,Mexico,LIN
22.20945,18,Male,Mexico,LAF
20.79124,22,Male,Mexico,IMT
20.90075,28,Male,Mexico,IIS
21.18275,34,Female,Mexico,ARQ
21.18275,34,Female,Mexico,ARQ
20.53114,20,Male,Mexico,IIS
21.17454,22,Female,Mexico,IMD
20.73648,21,Male,Mexico,IMT
21.29774,27,Female,Mexico,LIN
21.64271,22,Female,Mexico,LDI
20.49829,23,Male,Mexico,IIT
20.55305,28,Male,Mexico,IRS
21.09514,20,Female,Mexico,LPS
20.80493,32,Female,Mexico,IIS
20.6872,31,Male,Mexico,LAE
20.19165,20,Male,Mexico,LEC
20.8679,22,Male,Mexico,LED
20.13689,21,Male,Mexico,IMT
20.83778,20,Male,Mexico,LEM
21.06776,28,Female,Mexico,IMT
20.78576,30,Female,Mexico,IIS
20.45175,23,Female,Mexico,LDI
20.21629,26,Female,Mexico,ESC
21.33607,21,Male,Mexico,IID
20.84052,27,Male,Mexico,BIE
20.83504,30,Male,Mexico,ITC
20.24914,27,Female,Mexico,LDI
21.06229,24,Female,Mexico,LAE
20.86516,19,Male,Mexico,IMT
20.16153,28,Male,Mexico,LAF
21.52498,31,Female,Mexico,LEM
20.19439,21,Female,Mexico,LC
20.48186,25,Male,Mexico,IMT
20.47091,19,Male,Mexico,ITC
20.96372,33,Male,Mexico,IIS
20.75291,20,Female,Mexico,IM
21.59343,20,Male,Mexico,LAF
20.31485,34,Female,Mexico,IMT
20.17248,19,Male,Mexico,LIT
24.10404,17,Male,Mexico,LAF
20.77755,31,Male,Mexico,IMT
23.75359,27,Male,Mexico,IC
22.43943,24,Male,Mexico,LAF
21.99589,21,Male,Mexico,LAF
22.24504,16,Male,South America,IQ
20.17248,24,Female,Mexico,LEM
21.33607,24,Male,Mexico,IIS
25.19918,21,Male,Mexico,LAE
20.33402,28,Male,Mexico,CPF
21.05955,24,Female,Mexico,IQ
20.3039,27,Male,Mexico,ITD
20.91992,30,Male,Mexico,LAF
20.53662,20,Female,Mexico,LAE
20.93634,27,Male,Mexico,MC
20.72279,20,Female,Mexico,ARQ
21.34702,21,Male,Mexico,IMD
20.03285,28,Female,Mexico,LEM
20.33676,21,Male,Mexico,LAF
19.44695,20,Male,Mexico,LIN
21.06776,32,Male,Mexico,LAF
20.45996,20,Male,Mexico,LAF
20.30116,29,Male,Mexico,IIS
19.40589,28,Female,Mexico,IMD
19.54825,21,Male,Mexico,LAF
